"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"172",0,0,0,0,0,0,0,0,0,0
"173",0,0,0,0,0,0,0,0,0,0
"174",0,0,0,-1,0,0,0,0,0,0
"175",0,0,0,-1,0,0,0,0,0,0
"176",0,0,0,0,0,0,0,0,0,0
"177",0,0,0,-1,0,0,-1,0,0,0
"178",0,-1,0,0,0,0,0,0,0,0
"179",0,0,0,0,0,0,0,0,0,0
"180",0,-1,0,0,0,0,0,0,0,0
"181",0,0,0,0,0,0,0,0,0,0
"182",0,-1,0,-1,0,-1,-1,0,0,0
"183",0,-1,0,0,0,0,-1,0,0,0
"184",0,0,0,-1,0,0,-1,0,0,0
"185",0,-1,0,-1,0,0,-1,0,0,0
"186",0,-1,0,-1,-1,-1,-1,0,0,0
"187",-1,-1,0,-1,-1,0,-1,0,0,-1
"188",0,-1,0,0,0,0,-1,0,0,0
"189",0,0,0,0,0,0,0,0,0,0
"190",0,0,0,0,0,-1,0,0,0,0
"191",0,0,0,0,0,-1,0,0,0,0
"192",0,0,0,0,0,0,0,0,0,0
"193",0,0,0,0,0,0,0,0,0,1
"194",0,0,0,0,0,0,0,0,1,1
"195",0,0,0,0,0,0,0,0,1,1
"196",0,0,0,0,0,0,0,0,1,0
"197",0,0,0,0,0,-1,0,0,1,0
"198",0,0,0,0,0,-1,-1,0,1,0
"199",0,0,0,0,0,0,0,0,1,1
"200",0,0,0,0,0,0,0,0,1,1
"201",0,1,0,0,0,0,0,0,1,1
"202",0,0,0,1,0,0,0,0,1,1
"203",0,0,0,0,0,0,0,0,1,1
"204",0,0,0,0,0,0,0,0,1,1
"205",0,0,0,0,0,0,0,0,1,0
"206",0,0,0,0,0,0,0,0,1,0
"207",0,0,0,0,0,0,0,0,1,0
"208",0,0,0,0,0,0,0,0,1,0
"209",0,0,0,0,0,0,0,0,0,0
"210",0,0,0,0,0,0,0,0,0,0
"211",0,0,0,0,0,0,0,0,0,0
"212",0,0,0,0,0,0,1,0,0,0
"213",0,0,0,0,0,0,0,0,0,0
"214",0,0,0,0,0,0,0,0,0,0
"215",0,0,0,0,0,0,0,0,0,0
"216",0,0,0,0,0,0,0,0,0,0
"217",0,0,0,0,-1,0,0,0,0,0
"218",0,-1,0,0,-1,0,1,0,0,0
"219",0,0,0,0,0,1,1,0,0,0
"220",0,0,0,0,0,0,1,0,0,0
"221",0,0,0,0,0,0,1,0,0,0
"222",0,0,0,0,0,0,0,0,0,1
"223",0,0,0,0,0,0,0,0,0,0
"224",0,0,0,0,0,0,0,-1,0,1
"225",0,0,-1,0,1,0,0,0,0,1
"226",0,-1,-1,0,0,0,0,0,0,1
"227",0,-1,-1,0,1,0,0,0,0,1
"228",0,-1,-1,0,1,0,0,-1,-1,0
"229",0,-1,0,0,0,0,0,0,-1,0
"230",0,0,0,0,0,0,0,0,0,1
"231",0,0,0,0,0,0,0,0,0,1
"232",0,0,0,0,0,0,0,0,0,1
"233",-1,0,0,0,1,0,0,0,0,1
"234",-1,0,0,0,0,0,1,0,0,0
"235",0,0,0,0,0,1,1,0,0,0
"236",0,0,0,1,0,1,1,0,0,1
"237",0,1,0,1,1,1,1,0,0,1
"238",0,1,0,1,1,1,1,1,0,1
"239",-1,0,1,0,0,1,1,1,0,0
"240",-1,0,0,0,0,0,1,1,0,0
"241",-1,0,1,0,0,0,1,1,0,0
"242",-1,0,1,0,1,0,1,1,0,0
"243",0,0,0,0,1,0,1,1,0,0
"244",-1,0,0,0,1,0,1,1,0,0
"245",-1,0,0,0,0,0,1,1,0,0
"246",0,0,0,0,0,0,1,1,0,0
"247",0,0,0,0,0,0,1,1,0,0
"248",0,0,0,0,0,0,1,1,0,0
"249",0,0,0,0,0,-1,1,1,0,0
