"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"103",0,-1,0,-2,-2,0,-2,-2,0,-2
"104",0,-1,0,-2,-2,1,-2,-2,0,-2
"105",0,-1,0,-2,-2,0,-1,-1,0,-2
"106",0,-1,0,-2,-2,1,-2,-1,0,-2
"107",-2,-2,0,-2,-2,1,-2,-2,0,-2
"108",-2,-2,0,-2,-2,1,-2,-2,0,-2
"109",0,-2,0,-2,-2,1,-2,-1,2,-1
"110",0,-2,-1,-2,-1,1,-2,-1,2,-2
"111",2,-2,-1,-2,-1,1,-2,-2,2,-2
"112",0,-2,2,-2,-1,2,-2,-2,2,-2
"113",2,-2,2,-2,-1,0,-2,-2,2,-2
"114",2,-2,1,-2,2,0,-2,-2,2,-2
"115",2,0,1,-2,2,0,-2,-2,2,-2
"116",2,-1,1,-2,2,0,-2,-2,2,-2
"117",2,-1,1,-2,2,0,-2,-2,2,-2
"118",2,2,1,-2,1,0,-2,-2,2,-2
"119",2,1,1,-2,1,0,-3,-2,1,-2
"120",2,1,1,-2,1,0,-3,0,0,-2
"121",1,1,1,-2,1,0,-1,0,0,-2
"122",1,1,1,-2,1,0,-1,0,0,-1
"123",1,1,1,-3,1,0,-1,-1,2,-1
"124",1,1,1,-3,2,0,-1,-1,2,-1
"125",2,1,1,-2,2,1,-1,0,2,-1
"126",1,1,1,-3,2,0,-1,0,2,-1
"127",1,1,1,-2,2,0,-1,0,2,-1
"128",1,1,2,0,2,0,-1,-2,1,0
"129",2,1,2,0,2,0,-1,-1,1,0
"130",1,1,1,0,2,0,-1,-2,1,0
"131",1,1,1,0,2,0,-1,-2,1,0
"132",1,1,1,0,2,0,-1,-2,1,0
"133",1,1,1,0,2,0,0,-2,2,0
"134",1,1,1,0,2,0,0,-2,2,0
"135",1,2,1,0,2,0,0,-2,1,0
"136",1,1,1,0,2,0,0,-2,2,0
"137",2,1,1,-1,2,0,0,-2,1,0
"138",2,2,2,0,2,0,0,-2,1,0
