Date,Open,High,Low,Close,Adj Close,Volume
4/16/2018,591,596.799988,585.150024,591.599976,581.241028,5145813
4/17/2018,595,604.599976,591.950012,596.049988,585.613098,6400378
4/18/2018,600.950012,604.900024,594.599976,601.599976,591.065918,4259135
4/19/2018,606.049988,624.5,606.049988,621.950012,611.059631,10817008
4/20/2018,618.950012,618.950012,602.599976,606.200012,595.585388,6346274
4/23/2018,608.299988,611,600.099976,606.599976,595.978394,4591161
4/24/2018,594.450012,601.799988,589.400024,597.549988,587.086853,5953046
4/25/2018,598,598.5,584.299988,586.200012,575.935608,4122443
4/26/2018,588,591.549988,576.700012,578.200012,568.075684,7463062
4/27/2018,582.950012,594.75,581.25,589.799988,579.472534,4717405
4/30/2018,591.650024,599.900024,586,594.950012,584.53241,3658754
5/2/2018,597.099976,597.400024,572.950012,574.5,564.440491,4241068
5/3/2018,574,587.400024,568.099976,585.450012,575.19873,6778904
5/4/2018,586.700012,589.799988,579.25,580.75,570.581055,3881632
5/7/2018,585.950012,597.950012,581,596.450012,586.006165,4553509
5/8/2018,600,604.200012,590.5,596.349976,585.907837,4125958
5/9/2018,593.400024,608.849976,592.549988,603.150024,592.588806,6238211
5/10/2018,603.900024,606.799988,591.150024,594.150024,583.746399,4001269
5/11/2018,597,610.549988,591.200012,607.25,596.617004,6155537
5/14/2018,608.200012,614.950012,602.299988,610.349976,599.66272,5173139
5/15/2018,609,636.799988,605.5,625.950012,614.989563,12818436
5/16/2018,626,632.5,616.950012,621.25,610.371887,8426301
5/17/2018,629.950012,630.799988,602.150024,610.299988,599.613586,16037341
5/18/2018,615,616.700012,590.349976,591.400024,581.044556,8216629
5/21/2018,592.5,600.75,574.75,577,566.896667,7162233
5/22/2018,578.099976,583.5,569.5,576.799988,566.700195,6096646
5/22/2018,578.099976,583.5,569.5,576.799988,566.700195,6096646
5/23/2018,576,576,537.400024,540.049988,530.593689,17148386
5/24/2018,543.900024,553.900024,536.549988,548.200012,538.601013,8700822
5/25/2018,554,570.799988,552,568.25,558.299927,8895619
5/28/2018,571,579.450012,565.099976,576.650024,566.552856,5235667
5/29/2018,574.950012,588,569.349976,575.349976,565.275574,6477911
5/30/2018,568.049988,581.5,567.549988,577.900024,567.780945,6201888
5/31/2018,584,587.299988,572.049988,575.650024,565.570374,6652510
6/1/2018,570,579.599976,556.299988,560.650024,550.833008,9249666
6/4/2018,564.049988,572.5,560.299988,566.150024,556.236694,8742527
6/5/2018,566.799988,574.900024,560.599976,572.099976,562.082458,4688204
6/6/2018,574.450012,581.700012,569.200012,579.75,569.598572,4445305
6/7/2018,582.099976,603.900024,581.900024,602.099976,591.55719,9279353
6/8/2018,599,608.200012,592,600.5,589.985229,8386078
6/11/2018,601.049988,605.5,586.25,588.650024,578.342712,5151101
6/12/2018,586.950012,588.75,577.200012,580,569.844177,8588935
6/13/2018,579.599976,583.799988,566,567.599976,557.661255,9060032
6/14/2018,567,574.799988,561,569.549988,559.577148,7482514
6/15/2018,571.200012,574.799988,562,566,556.089294,6208764
6/18/2018,563,563.450012,547.299988,558.5,548.720642,10566965
6/19/2018,558,565.599976,549.450012,555,545.281921,9452190
6/20/2018,556.25,565.900024,553.299988,563.25,553.387451,6610703
6/21/2018,568.950012,568.950012,556.099976,557.75,547.983765,8465198
6/22/2018,560.400024,564.599976,556.099976,561.849976,552.011963,6247845
6/25/2018,559.799988,564.799988,556.349976,558.599976,548.818848,3899261
6/26/2018,558.349976,559.900024,538.25,549.5,539.878235,10207582
6/27/2018,551.700012,552.5,539.099976,543.200012,533.688538,5654150
6/28/2018,545,556.5,544,548.450012,538.846619,8655978
6/29/2018,551.950012,569.799988,551.049988,567.75,557.808655,9477384
7/2/2018,575.950012,586.5,556.25,560.5,550.685608,15763048
7/3/2018,561.950012,572.400024,553.450012,566,556.089294,11236177
7/4/2018,567.400024,573.400024,559.549988,571.099976,561.099976,6862947
7/5/2018,565,565,552,553.299988,553.299988,6013653
7/6/2018,550,564.25,546.349976,553.5,553.5,6614783
7/9/2018,563.700012,565.75,554.75,555.599976,555.599976,7443751
7/10/2018,559,571,556.900024,568.650024,568.650024,10004905
